,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
3151,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2747-quarzo-jesus-maria-lima-lima-ciudaris,QUARZO,-12.0748933,-77.0411692,Av. Cuba 538,Jesus Maria,En construcción,"31 de Julio, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,Tipo 1,Pisos: Entre 2 al 23,1,48.10 m2,"S/ 445,000"
1654,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3336-prada-jesus-maria-lima-lima-maxx-grupo-inmobiliario,PRADA,-12.0795016,-77.0499914,AV TIZON Y BUENO 639,Jesus Maria,En planos,"21 de Diciembre, 2025",Banco Scotiabank,"['Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,TIPO 4 - 1104,Piso: 11,2,54.00 m2,"S/ 391,800"
467,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1631-aspiria-barranco-lima-lima-grupo-t&c,ASPIRIA,-12.139487578321152,-77.01943345939085,Av. El Sol Este 530,Barranco,En construcción,"31 de Julio, 2026",Financiamiento Propio,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Salon Gourmet', 'Zona de Parrillas']",flat,TIPO 9,Pisos: Entre 2 al 12,2,24.47 m2,"S/ 255,106"
1993,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2132-amarelo-jesus-maria-lima-lima-abril-grupo-inmobiliario,Amarelo,-12.0820967,-77.05922509999999,Av. Brasil 2475,Jesus Maria,Entrega inmediata,"31 de Diciembre, 2023",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples']",flat,AM X04,"Pisos: 20, 26, 27",3,76.19 m2,"S/ 520,247"
1026,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3219-taller-miraflores-lima-lima-paz,Taller,-12.1129038,-77.0465743,CALLE TORIBIO POLO 450,Miraflores,En planos,"31 de Julio, 2026",Banco Interbank,"['Gimnasio', 'Lobby', 'Piscina', 'Zona de Parrillas']",flat,14,"Pisos: 3, 6, 10",2,66.88 m2,"S/ 587,652"
1073,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1810-dos-de-mayo-lince-lince-lima-lima-initalia,Dos de Mayo- Lince,-12.090064996564706,-77.03493570273388,Arenales 2570,Lince,Entrega inmediata,"31 de Julio, 2024",Banco Scotiabank,"['Areas verdes', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Salon Gourmet', 'Techo Panorámico', 'Techos Ecológicos', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas']",flat,T-6,Pisos: Entre 4 al 16,2,53.69 m2,"S/ 423,400"
2808,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3403-aliaga-442-magdalena-del-mar-lima-lima-vive-plm,ALIAGA 442,-12.0953729,-77.0593799,JUAN DE ALIAGA 442,Magdalena Del Mar,En planos,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,T 13,Pisos: Entre 3 al 10,3,71.89 m2,"S/ 596,364"
3292,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2465-mama-ocllo-lince-lima-lima-flat,MAMA OCLLO,-12.0852268,-77.043916,Jr. Mama Ocllo 1937,Lince,Entrega inmediata,"15 de Julio, 2024",Banco Interbank,"['Gimnasio', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,TIPO1,"Pisos: 9, 10, 11, 12",3,67.37 m2,"S/ 508,000"
1257,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2717-parque-escardo-san-miguel-lima-lima-capac-asociados,Parque Escardó,-12.0784958,-77.0961743,"José Gabriel Aguilar 260, San Miguel",San Miguel,En planos,"31 de Julio, 2025",Banco Scotiabank,['Lobby'],flat,1B,"Pisos: 3, 4, 10",3,79.25 m2,"S/ 526,316"
5630,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3334-residencial-green-life-chorrillos-lima-lima-verones-grupo-inmobiliario,Residencial Green Life,-12.176865728505682,-77.0041376935666,Los Gorriones 490,Chorrillos,En planos,"09 de Abril, 2026",Financiamiento Propio,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",duplex,813,Piso: 8,3,84.43 m2,"S/ 468,207"
